"Agency Name","Program Name","Contract Cycle","Funding Strategy","Grant Monitor","Total","Age_Group","Count","New_Age_Group"
"Oakland Parks, Recreation & Youth Development","Oakland Fine Art Summer School","Summer 2023","Summer Academic & Enrichment","Annie Hines",213,"9",37,"7-10 years old"
"Oakland Parks, Recreation & Youth Development","Oakland Fine Art Summer School","Summer 2023","Summer Academic & Enrichment","Annie Hines",213,"10",43,"7-10 years old"
"Oakland Parks, Recreation & Youth Development","Oakland Fine Art Summer School","Summer 2023","Summer Academic & Enrichment","Annie Hines",213,"11",38,"11-13 years old"
"Oakland Parks, Recreation & Youth Development","Oakland Fine Art Summer School","Summer 2023","Summer Academic & Enrichment","Annie Hines",213,"12",27,"11-13 years old"
"Oakland Parks, Recreation & Youth Development","Oakland Fine Art Summer School","Summer 2023","Summer Academic & Enrichment","Annie Hines",213,"13",9,"11-13 years old"
"Oakland Parks, Recreation & Youth Development","Oakland Fine Art Summer School","Summer 2023","Summer Academic & Enrichment","Annie Hines",213,"14",0,"14-17 years old"
"Oakland Parks, Recreation & Youth Development","Oakland Fine Art Summer School","Summer 2023","Summer Academic & Enrichment","Annie Hines",213,"15",0,"14-17 years old"
"Oakland Parks, Recreation & Youth Development","Oakland Fine Art Summer School","Summer 2023","Summer Academic & Enrichment","Annie Hines",213,"16",0,"14-17 years old"
"Oakland Parks, Recreation & Youth Development","Oakland Fine Art Summer School","Summer 2023","Summer Academic & Enrichment","Annie Hines",213,"17",0,"14-17 years old"
"Oakland Parks, Recreation & Youth Development","Oakland Fine Art Summer School","Summer 2023","Summer Academic & Enrichment","Annie Hines",213,"18+",1,"18+ years old"
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"5",0,"5-6 years old"
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"6",0,"5-6 years old"
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"7",0,"7-10 years old"
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"8",0,"7-10 years old"
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"9",1,"7-10 years old"
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"10",5,"7-10 years old"
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"11",1,"11-13 years old"
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"12",6,"11-13 years old"
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"13",9,"11-13 years old"
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"14",3,"14-17 years old"
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"15",4,"14-17 years old"
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"16",2,"14-17 years old"
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"17",0,"14-17 years old"
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"18+",2,"18+ years old"
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"5",0,"5-6 years old"
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"6",0,"5-6 years old"
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"7",0,"7-10 years old"
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"8",0,"7-10 years old"
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"9",0,"7-10 years old"
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"10",0,"7-10 years old"
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"11",0,"11-13 years old"
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"12",0,"11-13 years old"
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"13",0,"11-13 years old"
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"14",0,"14-17 years old"
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"15",1,"14-17 years old"
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"16",17,"14-17 years old"
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"17",54,"14-17 years old"
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"18+",74,"18+ years old"
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"5",0,"5-6 years old"
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"6",0,"5-6 years old"
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"7",0,"7-10 years old"
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"8",0,"7-10 years old"
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"9",0,"7-10 years old"
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"10",0,"7-10 years old"
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"11",0,"11-13 years old"
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"12",0,"11-13 years old"
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"13",0,"11-13 years old"
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"14",1,"14-17 years old"
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"15",12,"14-17 years old"
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"16",8,"14-17 years old"
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"17",8,"14-17 years old"
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"18+",34,"18+ years old"
