"Agency Name","Program Name","Contract Cycle","Funding Strategy","Grant Monitor","Total","Ethnicity_Group","Count"
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"American Indian or Alaskan Native",0
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"Asian, Asian American, Filipino",9
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"Black or African American",96
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"Hispanic or Latin(a/o), or Latinx",20
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"Arab and other Middle Eastern American",0
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"Pacific Islander or Native Hawaiian",0
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"South Asian, Indian, or Desi",0
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"White, European, or Caucasian",1
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"Two or More",10
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"Others",0
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"Decline to state",10
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"Afro-Caribbean or Afro-Latin(o/a), Afro-Latinx",0
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"American Indian or Alaskan Native",1
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"Asian, Asian American, Filipino",22
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"Black or African American",18
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"Hispanic or Latin(a/o), or Latinx",17
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"Arab and other Middle Eastern American",0
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"Pacific Islander or Native Hawaiian",0
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"South Asian, Indian, or Desi",0
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"White, European, or Caucasian",1
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"Two or More",4
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"Others",0
"Trybe Inc","TRYBE SUMMER JOB PROGRAM","Summer 2023","Oakland Summer Youth Employment","Annie Hines",63,"Decline to state",0
